,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
157,8967,2017-01-07,13:00,3.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
158,8966,2017-01-07,14:00,3.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
159,8965,2017-01-07,15:00,5.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
160,8964,2017-01-07,16:00,7.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
161,8963,2017-01-07,17:00,9.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
162,8962,2017-01-07,18:00,12.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
163,8961,2017-01-07,19:00,15.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
164,8960,2017-01-07,20:00,20.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
165,8959,2017-01-07,21:00,23.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
166,8958,2017-01-07,22:00,29.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
167,8957,2017-01-07,23:00,31.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
168,8956,2017-01-08,00:00,17.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
169,8955,2017-01-08,01:00,32.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
170,8954,2017-01-08,02:00,23.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
171,8953,2017-01-08,03:00,30.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
172,8952,2017-01-08,04:00,23.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
173,8951,2017-01-08,05:00,19.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
174,8950,2017-01-08,06:00,25.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
175,8949,2017-01-08,07:00,13.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
176,8948,2017-01-08,08:00,24.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
177,8947,2017-01-08,09:00,9.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
178,8946,2017-01-08,10:00,8.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
179,8945,2017-01-08,11:00,6.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
180,8944,2017-01-08,12:00,6.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
181,8943,2017-01-08,13:00,4.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
182,8942,2017-01-08,14:00,4.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
183,8941,2017-01-08,15:00,6.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
184,8940,2017-01-08,16:00,9.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
185,8939,2017-01-08,17:00,21.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
186,8938,2017-01-08,18:00,18.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
187,8937,2017-01-08,19:00,22.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
188,8936,2017-01-08,20:00,23.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
189,8935,2017-01-08,21:00,24.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
190,8934,2017-01-08,22:00,28.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
191,8933,2017-01-08,23:00,25.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
192,8932,2017-01-09,00:00,27.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
193,8931,2017-01-09,01:00,23.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
194,8930,2017-01-09,02:00,25.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
195,8929,2017-01-09,03:00,23.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
196,8928,2017-01-09,04:00,15.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
197,8927,2017-01-09,05:00,12.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
198,8926,2017-01-09,06:00,9.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
199,8925,2017-01-09,07:00,7.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
200,8924,2017-01-09,08:00,7.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
201,8923,2017-01-09,09:00,9.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
202,8922,2017-01-09,10:00,10.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
203,8921,2017-01-09,11:00,9.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
204,8920,2017-01-09,12:00,7.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
205,8919,2017-01-09,13:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
206,8918,2017-01-09,14:00,5.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
207,8917,2017-01-09,15:00,3.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
208,8916,2017-01-09,16:00,5.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
209,8915,2017-01-09,17:00,6.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
210,8914,2017-01-09,18:00,4.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
211,8913,2017-01-09,19:00,5.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
212,8912,2017-01-09,20:00,10.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
213,8911,2017-01-09,21:00,11.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
214,8910,2017-01-09,22:00,8.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
215,8909,2017-01-09,23:00,9.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
216,8908,2017-01-10,00:00,9.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
217,8907,2017-01-10,01:00,16.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
218,8906,2017-01-10,02:00,10.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
219,8905,2017-01-10,03:00,10.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
220,8904,2017-01-10,04:00,8.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
221,8903,2017-01-10,05:00,7.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
222,8902,2017-01-10,06:00,10.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
223,8901,2017-01-10,07:00,12.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
